ID	x	y
loc1	16.918	16.996
loc2	18.017	17.034
loc3	20.075	17.059
loc4	18.979	17.065
loc5	21.937	16.967
loc6	20.899	17.015
loc7	24.121	17.055
loc8	23.122	17.085
loc9	25.068	16.996
loc10	26.035	16.991
loc11	26.987	16.997
loc12	27.948	16.969
loc13	9.868	17.084
loc14	9.004	17.028
loc15	12.074	17.04
loc16	10.908	16.974
loc17	13.045	17.149
loc18	14.014	17.063
loc19	15.011	17.051
loc20	16.003	17.048
loc21	15.076	19.996
loc22	15.063	19.016
loc23	15.019	18.024
loc24	15.932	18
loc25	15.893	20.047
loc26	15.936	19.021
loc27	12.973	18.014
loc28	14.07	18.032
loc29	13.059	20.044
loc30	14.013	19.054
loc31	14.004	20.024
loc32	13.061	19.072
loc33	13.969	21.05
loc34	14.069	21.943
loc35	13.058	22.014
loc36	13.014	20.919
loc37	15.89	21.016
loc38	15.084	21.071
loc39	15.051	21.998
loc40	15.996	22.102
loc41	12.08	19.06
loc42	12.121	18.058
loc43	12.092	20.032
loc44	10.896	18.992
loc45	10.877	17.97
loc46	10.868	20.032
loc47	9.959	20.044
loc48	9.918	18.981
loc49	9.023	19.044
loc50	9.018	20.048
loc51	9.899	17.997
loc52	9.049	18.018
loc53	9.068	20.979
loc54	9.906	20.97
loc55	9.966	21.951
loc56	9.059	22.014
loc57	12.131	21.968
loc58	12.073	21.045
loc59	10.868	20.971
loc60	10.903	21.945
loc61	10.899	23.91
loc62	12.153	24.01
loc63	12.115	22.986
loc64	10.857	22.897
loc65	9.03	23.949
loc66	9.056	22.94
loc67	9.966	23.953
loc68	9.999	22.935
loc69	9.074	24.935
loc70	9.951	24.909
loc71	12.123	25.002
loc72	10.86	24.947
loc73	15.949	22.955
loc74	15.98	23.961
loc75	15.009	22.966
loc76	15.073	23.973
loc77	13.048	23.951
loc78	13.067	22.915
loc79	14.05	23.965
loc80	14.048	22.95
loc81	13.111	24.919
loc82	14.085	24.905
loc83	15.033	24.886
loc84	15.953	24.959
loc85	29.058	18.046
loc86	29.077	18.972
loc87	29.042	20.088
loc88	28.971	20.971
loc89	28.989	21.969
loc90	27.011	20.052
loc91	26.98	18.983
