	ACOB	OBDOP1	OBDOP2-OBINH123	OBINH4	OBINH5	OBNBL12	OBNBL3	OBNBL45	OEC
Agpat3	1	0	0	0	0	0	0	0	0
Cd81	1	0	0	0	0	0	0	0	1
Timp2	0	0	0	0	0	1	0	0	0
Igfbp7	0	0	0	0	0	0	0	0	1
Stxbp1	0	0	1	0	0	0	0	0	0
Kit	0	0	0	0	1	0	0	0	0
Ccnd2	0	0	0	0	0	0	1	0	0
Rpl38	0	0	0	0	0	0	1	0	0
Ndufa5	0	0	0	0	1	0	0	0	0
Frzb	0	0	0	0	0	0	0	0	1
Nrtn	0	0	0	0	1	0	0	0	0
Ldhb	0	0	0	0	1	0	0	0	0
Cck	0	0	0	0	0	1	0	0	0
Rps17	0	0	0	0	0	0	1	0	0
Rtn4	0	0	1	0	0	0	0	0	0
Glul	1	0	0	0	0	0	0	0	1
Nmb	0	0	0	0	0	1	0	0	0
Ndufa13	0	1	0	0	1	0	0	0	0
Rcn2	1	0	0	0	0	0	0	0	0
Ly6g6e	0	0	0	0	0	1	0	0	0
Syt1	0	0	1	0	0	1	0	0	0
Pak1	0	0	0	0	0	1	0	0	0
Tmem108	0	0	0	0	0	1	0	0	0
Calm2	0	0	1	1	0	0	0	1	0
Aes	0	0	0	0	1	0	0	0	0
Penk	0	0	1	0	0	0	0	0	0
Cox6a2	0	0	0	0	1	0	0	0	0
Nppa	0	0	0	0	1	0	0	1	0
H3f3a	0	0	0	0	0	0	1	0	0
Gm1673	0	0	0	0	0	0	1	0	0
Ptprd	0	0	0	0	0	1	0	0	0
Deptor	0	0	0	0	0	1	0	0	0
Rgcc	1	0	0	0	0	0	0	0	1
Paqr8	1	0	0	0	0	0	0	0	0
Aqp4	1	0	0	0	0	0	0	0	0
Ncdn	0	0	1	0	0	0	0	0	0
Nrsn2	0	0	0	0	1	1	0	0	0
Mgst1	0	0	0	0	0	0	0	0	1
Rps7	0	0	0	0	0	0	1	0	0
Rps18	0	0	0	0	0	0	1	0	0
2310022B05Rik	0	0	0	0	0	0	0	0	1
Gad2	0	1	0	0	1	0	0	0	0
Vsnl1	0	0	0	0	0	1	0	0	0
Rps11	0	0	0	0	0	0	1	0	0
