cellID	Imaging_phenotype_cluster_ID	sample_Xtile_Ytile	XtileIndex	YtileIndex	niche_cluster_ID	V1.x	V1.y	Imaging_phenotype_cluster_ID
1	9600	BALBc-3_X05_Y03	5	3	32	1	56	9600
2	9600	BALBc-3_X01_Y02	1	2	99	2	56	9600
3	9600	BALBc-3_X06_Y02	6	2	52	3	56	9600
4	9600	BALBc-3_X02_Y06	2	6	48	4	56	9600
5	9600	BALBc-3_X06_Y05	6	5	13	5	56	9600
6	9600	BALBc-3_X06_Y02	6	2	24	6	56	9600
7	9600	BALBc-3_X03_Y09	3	9	6	7	56	9600
8	9600	BALBc-3_X06_Y03	6	3	65	8	56	9600
9	9600	BALBc-3_X02_Y03	2	3	10	9	56	9600
10	9600	BALBc-3_X06_Y02	6	2	21	10	56	9600
11	9600	BALBc-3_X02_Y03	2	3	10	11	56	9600
12	9600	BALBc-3_X02_Y02	2	2	52	12	56	9600
13	9600	BALBc-3_X05_Y07	5	7	52	13	56	9600
14	9600	BALBc-3_X04_Y03	4	3	93	14	56	9600
15	9600	BALBc-3_X02_Y02	2	2	65	15	56	9600
16	9600	BALBc-3_X03_Y09	3	9	77	16	56	9600
17	9600	BALBc-3_X02_Y02	2	2	65	17	56	9600
18	9600	BALBc-3_X01_Y06	1	6	67	18	56	9600
19	9600	BALBc-3_X06_Y02	6	2	24	19	56	9600
20	9600	BALBc-3_X04_Y01	4	1	32	20	56	9600
21	9600	BALBc-3_X03_Y02	3	2	36	21	56	9600
22	9600	BALBc-3_X06_Y04	6	4	96	22	56	9600
23	9600	BALBc-3_X04_Y05	4	5	98	23	56	9600
24	9600	BALBc-3_X01_Y06	1	6	93	24	56	9600
25	9600	BALBc-3_X03_Y04	3	4	60	25	56	9600
26	9600	BALBc-3_X06_Y07	6	7	60	26	56	9600
27	9600	BALBc-3_X01_Y03	1	3	67	27	56	9600
28	9600	BALBc-3_X01_Y06	1	6	13	28	56	9600
29	9600	BALBc-3_X06_Y01	6	1	39	29	56	9600
30	9600	BALBc-3_X01_Y06	1	6	96	30	56	9600
31	9600	BALBc-3_X02_Y07	2	7	11	31	56	9600
32	9600	BALBc-3_X05_Y06	5	6	48	32	56	9600
33	9600	BALBc-3_X05_Y04	5	4	30	33	56	9600
34	9600	BALBc-3_X05_Y04	5	4	96	34	56	9600
35	9600	BALBc-3_X03_Y06	3	6	65	35	56	9600
36	9600	BALBc-3_X05_Y04	5	4	23	36	56	9600
37	9600	BALBc-3_X01_Y06	1	6	35	37	56	9600
38	9600	BALBc-3_X02_Y02	2	2	24	38	56	9600
39	9600	BALBc-3_X01_Y06	1	6	66	39	56	9600
40	9600	BALBc-3_X02_Y06	2	6	24	40	56	9600
41	9600	BALBc-3_X04_Y06	4	6	65	41	56	9600
42	9600	BALBc-3_X06_Y04	6	4	67	42	56	9600
43	9600	BALBc-3_X01_Y06	1	6	60	43	56	9600
44	9600	BALBc-3_X01_Y07	1	7	3	44	56	9600
45	9600	BALBc-3_X07_Y07	7	7	35	45	56	9600
46	9600	BALBc-3_X03_Y06	3	6	50	46	56	9600
47	9600	BALBc-3_X04_Y04	4	4	6	47	56	9600
48	9600	BALBc-3_X02_Y06	2	6	21	48	56	9600
49	9600	BALBc-3_X07_Y07	7	7	27	49	56	9600
50	9600	BALBc-3_X06_Y06	6	6	21	50	56	9600
51	9600	BALBc-3_X06_Y06	6	6	59	51	56	9600
