cellID	X.X	Y.Y
1	10	70
2	1000	294
3	1003	605
4	1015	873
5	1021	953
6	1046	642
7	1062	9
8	1065	428
9	1079	172
10	1081	666
11	1091	187
12	1096	757
13	1100	186
14	1107	764
15	1108	189
16	1122	655
17	1125	162
18	1131	966
19	1133	739
20	1134	468
21	1136	872
22	1137	361
23	1138	970
24	1171	797
25	1172	607
26	1182	507
27	1190	671
28	1190	854
29	1191	561
30	1195	806
31	1210	282
32	122	301
33	1223	504
34	1233	725
35	125	816
36	1261	361
37	1269	742
38	1269	834
39	1277	779
40	128	942
41	1288	12
42	129	352
43	1310	773
44	1312	19
45	134	473
46	14	820
47	149	584
48	150	746
49	155	440
50	165	611
51	174	312
52	18	812
53	183	854
54	184	753
55	191	882
56	192	820
57	211	290
58	221	768
59	231	912
60	238	481
61	251	700
62	254	324
63	263	374
64	271	332
65	278	821
66	279	295
67	284	986
68	295	256
69	308	871
70	314	757
71	330	122
72	34	526
73	346	998
74	353	264
75	368	90
76	370	1
77	393	727
78	429	348
79	431	954
80	441	492
81	444	521
82	448	768
83	453	657
84	46	993
85	464	471
86	477	757
87	477	888
88	484	629
89	486	769
90	489	759
91	502	774
92	503	808
93	517	345
94	517	378
95	523	936
96	540	536
97	555	45
98	566	193
99	577	885
100	591	64
101	597	885
102	612	929
103	617	134
104	623	102
105	647	958
106	65	14
107	656	863
108	659	35
109	659	514
110	674	101
111	678	263
112	71	850
113	712	857
114	72	541
115	758	16
116	762	676
117	763	110
118	797	495
119	798	571
120	798	730
121	817	209
122	821	117
123	822	162
124	834	59
125	837	706
126	838	181
127	839	596
128	85	319
129	858	834
130	864	885
131	865	530
132	867	157
133	867	160
134	877	742
135	892	540
136	895	139
137	9	725
138	902	680
139	910	488
140	923	185
141	93	557
142	934	624
143	94	553
144	948	999
145	977	638
146	996	252
147	997	476
148	1	858
149	10	120
150	10	130
151	10	15
152	10	151
153	10	160
154	10	175
155	10	176
156	10	256
157	10	290
158	10	297
159	10	315
160	10	318
161	10	365
162	10	377
163	10	424
164	10	433
165	10	54
166	10	566
167	10	579
168	10	581
169	10	592
170	10	609
171	10	62
172	10	636
173	10	656
174	10	675
175	10	699
176	10	713
177	10	723
178	10	746
179	10	776
180	10	778
181	10	781
182	10	797
183	10	803
184	10	826
185	10	894
186	10	912
187	10	939
188	10	946
189	10	947
190	100	105
191	100	116
192	100	174
193	100	300
194	100	35
195	100	410
196	100	538
197	100	573
198	100	605
199	100	620
200	100	631
201	100	702
202	100	743
203	100	763
204	100	891
205	100	906
206	100	975
207	100	975
208	100	980
209	1000	112
210	1000	128
211	1000	217
212	1000	22
213	1000	247
214	1000	25
215	1000	253
216	1000	257
217	1000	357
218	1000	369
219	1000	389
220	1000	417
221	1000	483
222	1000	491
223	1000	510
224	1000	515
225	1000	541
226	1000	562
227	1000	604
228	1000	623
229	1000	782
230	1000	798
231	1000	844
232	1000	851
233	1000	879
234	1000	888
235	1000	943
236	1000	974
237	1001	102
238	1001	152
239	1001	182
240	1001	194
241	1001	252
242	1001	266
243	1001	285
244	1001	387
245	1001	483
246	1001	54
247	1001	546
248	1001	574
249	1001	624
250	1001	631
251	1001	707
252	1001	720
253	1001	725
254	1001	750
255	1001	765
256	1001	776
257	1001	784
258	1001	818
259	1001	834
260	1001	962
261	1002	13
262	1002	2
263	1002	296
264	1002	297
265	1002	298
266	1002	326
267	1002	326
268	1002	382
269	1002	536
270	1002	621
271	1002	658
272	1002	687
273	1002	713
274	1002	733
275	1002	750
276	1002	767
277	1002	789
278	1002	80
279	1002	823
280	1002	866
281	1002	878
282	1002	895
283	1002	945
284	1002	989
285	1003	153
286	1003	168
287	1003	187
288	1003	223
289	1003	223
290	1003	286
291	1003	316
