ID	X	Y
cell_778	18171.230942376	24590.7952745695
cell_1409	19838.0808946982	6456.14468656944
cell_3642	11247.4337149672	36626.8924151427
cell_1302	19253.2312989516	7389.73123729076
cell_1285	19612.5274670653	10793.1605658945
cell_769	18374.2957956846	26286.8566539081
cell_1466	18132.0197619544	2115.03702738755
cell_5870	4197.7892804052	39465.3559028614
cell_1392	20452.0726849687	6184.98116876135
cell_5682	3757.86634863543	46281.167166255
cell_1274	19865.6239106444	8311.17249446985
cell_1464	18185.3516108364	2875.96447548664
cell_1263	20162.8493415322	10008.2584959042
cell_1277	19770.3346002926	7493.36858742616
cell_6337	2693.98949759729	32856.0873403172
cell_4303	12253.1166170982	20071.13409671
cell_2071	13784.1178107188	32426.4644953405
cell_1416	19527.7561292191	6218.57057440984
cell_993	19648.7047296314	15436.1066820669
cell_1273	19862.8533934801	9628.27281465004
cell_6195	1359.3573354356	36330.0419961344
cell_4907	8659.30343832749	35851.4969535967
cell_4094	10190.9508289713	30338.1355630579
cell_2244	14032.2143330446	28694.6329724455
cell_5036	5298.84377010284	36870.7260715425
cell_1299	19340.5882733527	7511.05823370459
cell_2209	14993.7885032286	30330.2027482064
cell_4690	8909.12488826057	43113.5370173302
cell_1411	19717.8021101172	6387.98706118443
cell_5719	2858.60715127884	44533.2973492845
cell_1249	20432.1780645065	9290.21349995171
cell_6435	693.237882698144	35159.1415419326
cell_6046	5280.60428808355	36870.1940988816
cell_645	19085.9650413195	27355.8232576252
cell_3427	11204.0792324121	40474.3844870047
cell_1297	19350.8991225778	9761.88165853298
cell_4287	13106.2374155435	20447.4542491821
cell_3959	12959.7514377079	28200.1726324529
cell_1148	19145.4067246255	11503.7026144531
cell_5867	4284.53857642515	41108.6438871688
cell_1845	13987.6328560183	36954.2446225318
cell_5754	2276.58068610456	45376.191231481
cell_1414	19584.9921097051	6383.09712444257
cell_1286	19600.2749168445	7779.64589697873
cell_2646	14078.665428577	20070.0307983606
cell_4980	6898.49849423894	37144.8704058539
cell_2311	12681.7946438238	29283.869620303
cell_765	18527.7431326765	24763.674487676
cell_1279	19673.8872203708	9450.06625461042
cell_4568	7699.19974134619	43542.0020282885
cell_3901	9629.83584444755	32022.1419259636
cell_2848	15135.1664384542	12878.3256575327
cell_1284	19618.3324394237	9121.47263319937
cell_1271	19997.6083866395	9890.23473374092
cell_1306	19076.438036661	8711.97727898423
cell_3477	9921.7578243446	41871.0069990859
cell_170	17883.4504917303	39286.3062062824
cell_2157	16436.3805739043	28542.0647849094
cell_1806	14537.885733518	37777.1056453443
