CellID	ClusterName	ClusterID	Region
cell_778	Inhibitory_CP	18	Layer 6
cell_1409	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_3642	Inhibitory_CP	18	Layer 4
cell_1302	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1285	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_769	Inhibitory_CP	18	Layer 4
cell_1466	Inhibitory_CP	18	White matter
cell_5870	Inhibitory_CP	18	Layer 4
cell_1392	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_5682	Inhibitory_CP	18	Layer 2-3 medial
cell_1274	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1464	Inhibitory_CP	18	White matter
cell_1263	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1277	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_6337	Inhibitory_CP	18	Layer 6
cell_4303	Inhibitory_CP	18	Hippocampus
cell_2071	Inhibitory_CP	18	Layer 4
cell_1416	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_993	Inhibitory_CP	18	White matter
cell_1273	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_6195	Inhibitory_CP	18	Layer 5
cell_4907	Inhibitory_CP	18	Layer 5
cell_4094	Inhibitory_CP	18	Layer 6
cell_2244	Inhibitory_CP	18	Layer 6
cell_5036	Inhibitory_CP	18	Layer 5
cell_1299	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_2209	Inhibitory_CP	18	Layer 5
cell_4690	Inhibitory_CP	18	Layer 2-3 medial
cell_1411	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_5719	Inhibitory_CP	18	Layer 2-3 medial
cell_1249	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_6435	Inhibitory_CP	18	Layer 6
cell_6046	Inhibitory_CP	18	Layer 5
cell_645	Inhibitory_CP	18	Layer 4
cell_3427	Inhibitory_CP	18	Layer 2-3 medial
cell_1297	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_4287	Inhibitory_CP	18	White matter
cell_3959	Inhibitory_CP	18	Layer 6
cell_1148	Inhibitory_CP	18	White matter
cell_5867	Inhibitory_CP	18	Layer 2-3 medial
cell_1845	Inhibitory_CP	18	Layer 3-4
cell_5754	Inhibitory_CP	18	Layer 2-3 medial
cell_1414	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1286	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_2646	Inhibitory_CP	18	White matter
cell_4980	Inhibitory_CP	18	Layer 4
cell_2311	Inhibitory_CP	18	Layer 6
cell_765	Inhibitory_CP	18	Layer 6
cell_1279	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_4568	Inhibitory_CP	18	Layer 2-3 medial
cell_3901	Inhibitory_CP	18	Layer 6
cell_2848	Inhibitory_CP	18	White matter
cell_1284	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1271	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_1306	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_3477	Inhibitory_CP	18	Layer 2-3 medial
cell_170	Inhibitory_CP	18	Layer 2-3 lateral
cell_2157	Inhibitory_CP	18	Layer 5
cell_1806	Inhibitory_CP	18	Layer 2-3 lateral
cell_4609	Inhibitory_CP	18	Layer 2-3 medial
cell_3758	Inhibitory_CP	18	Layer 5
cell_2083	Inhibitory_CP	18	Layer 4
cell_687	Inhibitory_CP	18	Layer 4
cell_2293	Inhibitory_CP	18	Layer 6
cell_1425	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_6196	Inhibitory_CP	18	Layer 5
cell_1334	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_6157	Inhibitory_CP	18	Layer 4
cell_3313	Inhibitory_CP	18	Pia Layer 1
cell_5692	Inhibitory_CP	18	Layer 2-3 medial
cell_5724	Inhibitory_CP	18	Layer 2-3 medial
cell_1281	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_4725	Inhibitory_CP	18	Layer 2-3 medial
cell_1290	Inhibitory_CP	18	Internal Capsule Caudoputamen
cell_4504	Inhibitory_CP	18	White matter
cell_3881	Inhibitory_CP	18	Layer 6
cell_205	Inhibitory_CP	18	Layer 2-3 lateral
cell_6302	Inhibitory_CP	18	Layer 6
cell_5048	Inhibitory_CP	18	Layer 4
cell_5413	Inhibitory_CP	18	Layer 6
cell_5857	Inhibitory_CP	18	Layer 2-3 medial
