ID	X	Y
cell_1	1632.02	1305.7
cell_2	1589.47	669.51
cell_3	1539.89	1185.9
cell_4	1513.94	710.24
cell_5	1477.85	763.87
cell_6	1304.03	1142.4
cell_7	1291.34	957.71
cell_8	1282.49	1725.4
cell_9	1218.73	806.56
cell_10	1192.59	1800.1
cell_11	1202.12	1886
cell_12	1183.07	950.97
cell_13	1162.46	593.51
cell_14	1128.82	1596.5
cell_15	1115.86	1021.4
cell_16	1102.88	1696
cell_17	1074.92	391.16
cell_18	1045.9	597.81
cell_19	1037.4	1865.2
cell_20	1024.7	469.54
cell_21	1017.8	1636.6
cell_22	1006	344.12
cell_23	992.9	1293.3
cell_24	980.8	1378.9
cell_25	938.6	1594.2
cell_26	922.8	822.23
cell_27	923.3	560.36
cell_28	912.5	742.3
cell_29	913.1	1751.6
cell_30	882	668.36
cell_31	810.5	241.57
cell_32	800.9	624.11
cell_33	802.4	103.12
cell_34	798.2	449.39
cell_35	752.7	1342.6
cell_36	704.5	407.86
cell_37	618.2	894.7
cell_38	610.6	1272.8
cell_39	612.9	1363.8
cell_40	565.4	421.27
cell_41	553.6	271.42
cell_42	531.9	1069
cell_43	460.6	426.59
cell_44	417.4	669.71
cell_45	359.3	782.61
cell_46	348.1	228.25
cell_47	354.2	442.86
cell_48	341.4	973.21
cell_49	321	1201.2
cell_50	321.4	854.77
cell_51	1924.97	855.84
cell_52	1838.05	469.57
cell_53	1831.19	1090.2
cell_54	1801.58	267.56
cell_55	1785.95	981.25
cell_56	1769.95	390.59
cell_57	1734.44	1117
cell_58	1687.25	520.51
cell_59	1664.57	980.24
cell_60	1657.9	799.96
cell_61	1508.52	527.31
cell_62	1482.67	621.1
cell_63	1369.49	571.13
cell_64	1839.07	1458
cell_65	1802.32	1738.7
cell_66	1805	1561.7
cell_67	1812.68	1319.2
cell_68	1797.44	1875.4
cell_69	1712.56	1428.9
cell_70	1679.39	152.2
cell_71	1649.39	334.16
cell_72	1632.03	1623.4
cell_73	1575.96	228.45
cell_74	1575.84	1829.6
cell_75	1556.42	1741.8
cell_76	1566.09	1418.1
cell_77	1551.13	363.87
cell_78	1492.65	291.89
cell_79	1474.76	1745
cell_80	1466.01	1617.6
cell_81	1449.26	1238
cell_82	1457.75	1875.9
cell_83	1457.65	402.8
cell_84	1444.82	238.72
cell_85	1440.75	1298.3
cell_86	1427.06	1401
cell_87	1414.83	312.93
cell_88	1400.12	448.36
cell_89	1357.53	699.92
cell_90	1351.5	1923.8
cell_91	1339.72	370.94
cell_92	1298.05	781.88
cell_93	1244.38	191.29
cell_94	1232.85	1960
cell_95	1228.13	739.38
cell_96	1210.65	374.81
cell_97	1208	1502.4
cell_98	1171.89	266
cell_99	1156.03	1357.2
cell_100	1142.25	446.9
cell_101	1109.02	1308.9
cell_102	1124.85	745.68
cell_103	1106.51	1460.8
cell_104	1064.34	799.79
cell_105	992.3	996.9
cell_106	990.5	886.81
cell_107	969.6	1198.5
cell_108	956.3	113.16
cell_109	939.4	280.75
cell_110	907.5	1444
cell_111	894.4	234.96
cell_112	891.1	404.65
cell_113	874.3	1127
cell_114	786.5	921.13
cell_115	775.7	796.06
cell_116	490.8	1336
cell_117	421.9	1794.6
cell_118	270	1383.3
cell_119	260.5	1378.7
cell_120	242	1547.5
cell_121	156.1	1634
cell_122	1593.86	681.3
cell_123	1487.81	773.77
cell_124	1466.51	861.26
cell_125	1421.55	682.46
cell_126	1368.22	495.56
cell_127	1358.13	594.86
cell_128	1335.92	837.63
cell_129	1249.37	667.59
cell_130	1210.14	575.64
cell_131	1208.72	830.55
cell_132	1118.18	822.66
cell_133	1064.3	926.19
cell_134	1906.85	1601.6
cell_135	1868.4	1354.5
cell_136	1840.05	1800.3
cell_137	1837.05	1675.2
cell_138	1768.87	1597.6
cell_139	1765.48	911.59
cell_140	1733.1	1512.5
cell_141	1634.98	1083.2
cell_142	1631.15	1606.3
cell_143	1574.5	1456.6
cell_144	1508.36	1464.7
cell_145	1485.92	1080.9
cell_146	1500.26	1255.1
cell_147	1489.83	1814.4
cell_148	1471.15	1320.5
cell_149	1444.58	376.66
cell_150	1399.55	301.91
cell_151	1399.35	1376.3
cell_152	1384.26	1224.7
cell_153	1356.53	407.08
cell_154	1342.66	1439.6
cell_155	1251.31	1660.6
cell_156	1242.66	1213.6
cell_157	1214.08	1581.2
cell_158	1210.08	1496.8
cell_159	1198.77	375.37
cell_160	1201.56	451.05
cell_161	1192.9	508.2
cell_162	1181.62	1402.5
cell_163	1152.3	1159.9
cell_164	1091.76	1495.1
cell_165	1074.76	366.94
cell_166	1074.9	1388.5
cell_167	1067.6	513.53
cell_168	1055.86	1039.8
cell_169	1045.4	289.92
cell_170	1031.5	1555.4
cell_171	1002.3	397.93
cell_172	984.7	1816.8
cell_173	982.7	1311.8
cell_174	978.3	1223.2
cell_175	966.1	1954.9
cell_176	969.2	1410.2
cell_177	960.8	1675.7
cell_178	952.8	1002.1
cell_179	944.3	1103.8
cell_180	935.1	247.23
cell_181	928.2	1534.7
cell_182	914.4	493.17
cell_183	908.7	176.2
cell_184	888.4	1197.8
cell_185	873.5	1370.7
cell_186	875.9	324.83
cell_187	874.6	1443.6
cell_188	848.2	427.71
cell_189	846.8	1535.1
cell_190	808.5	900.27
cell_191	790.4	224.88
cell_192	766.7	1461.1
cell_193	760	1021.7
cell_194	753.1	1117.7
cell_195	758.3	440.01
cell_196	752.4	1737.6
cell_197	730.9	945.65
cell_198	710	368.95
cell_199	721.6	561.77
cell_200	668.4	1802.9
cell_201	677.1	1326.7
cell_202	655	1687.2
cell_203	641.6	514.6
cell_204	630.5	1241.1
cell_205	624.8	861.75
cell_206	596.1	590.72
cell_207	597.1	743.94
cell_208	592.6	1463.2
cell_209	585.9	1109
cell_210	571.7	464.69
cell_211	548.3	918.22
cell_212	542.4	1748.9
cell_213	508	1205.4
cell_214	498.5	743.17
cell_215	471.2	1087.2
cell_216	444.3	856.63
cell_217	449.3	531.71
cell_218	431.9	1751.5
cell_219	427.1	653.89
cell_220	428.9	1625.7
cell_221	412.8	751.4
cell_222	397.4	1164.1
cell_223	380	1536.8
cell_224	331.7	1020.7
cell_225	310.2	918.24
cell_226	221.9	1046.5
cell_227	1789.95	1033.1
cell_228	1754.08	794.27
cell_229	1713.57	892.49
cell_230	1564.89	1037.7
cell_231	1592.13	1174.9
cell_232	1493.37	864.35
cell_233	1474.18	1112.1
cell_234	1445.88	1240.8
cell_235	1417.84	1365.4
cell_236	1398.39	713.46
cell_237	1316	1351.7
cell_238	1277.15	874.24
cell_239	1264.25	1231.8
cell_240	1231.45	1699.3
cell_241	1201.42	1336
cell_242	1141.63	568.71
cell_243	1132.18	1744.9
cell_244	1104.43	1145.7
cell_245	1077.58	1047.9
cell_246	1036.5	493.04
cell_247	1031.2	999.3
cell_248	1012.4	1623.1
cell_249	1000.7	1437.8
cell_250	986.7	752.18
cell_251	911.3	490.18
cell_252	834.8	1073.6
cell_253	838.1	1585.5
cell_254	816.6	761.15
cell_255	766.4	529.72
cell_256	786.6	872.18
cell_257	753.2	800.37
cell_258	689.2	1122.9
cell_259	676.3	1281.7
cell_260	627.2	1487.7
cell_261	587.6	1168.7
cell_262	562.3	1620.9
cell_263	540.5	998.12
cell_264	472	906.57
cell_265	423.3	1769.8
cell_266	404.8	974.49
cell_267	407	1879.2
cell_268	334.9	1473.7
cell_269	255.3	873.9
cell_270	267.3	1327.8
cell_271	1804.8	1507.3
cell_272	1668.44	1522.7
cell_273	1643.45	1655.5
cell_274	1618.41	1415.4
cell_275	1547.07	1309.2
cell_276	1523.67	1484.8
cell_277	1482.82	1668.2
cell_278	1354.05	1474.1
cell_279	611.2	876.46
cell_280	556.3	1734.5
cell_281	422.4	1652.8
cell_282	417.9	1371.3
cell_283	1892.05	707.72
cell_284	1882.78	520.95
cell_285	1860.66	623.17
cell_286	1743.96	1818.8
cell_287	1728.56	551.91
cell_288	1695.98	633.05
cell_289	1614.2	1820.3
cell_290	1611.25	703.15
cell_291	1598.26	573.52
cell_292	1467.02	539.39
cell_293	1397.1	420.87
cell_294	1395.05	325.13
cell_295	1279.93	1042.1
cell_296	1247.97	300.32
cell_297	1224.64	713.42
cell_298	1164.31	756.36
