"pixel_x","pixel_y","cell_ID"
3087.4,-9550.9,"6x38"
3088.4,-9950.9,"6x40"
3264.7,-9349.9,"7x37"
3268.3,-9749.1,"7x39"
3269.8,-10552.1,"7x43"
3447.7,-7550.7,"8x28"
3453,-7955.9,"8x30"
3451.6,-8354.4,"8x32"
3453.7,-8755.2,"8x34"
3449.1,-9152.8,"8x36"
3447,-9553.6,"8x38"
3448.1,-9954.7,"8x40"
3449.1,-10354.5,"8x42"
3632.1,-6951.9,"9x25"
3637.9,-7351,"9x27"
3630.6,-7753.2,"9x29"
3629.5,-8153.4,"9x31"
3633.8,-8554.4,"9x33"
3634.3,-8953.6,"9x35"
3626.9,-9354.4,"9x37"
3627.3,-9756,"9x39"
3628.5,-10157.8,"9x41"
3630.5,-10557.4,"9x43"
3820.9,-6762.2,"10x24"
3824.9,-7157.9,"10x26"
3821,-7559.4,"10x28"
3814,-7965.9,"10x30"
3819.2,-8368.1,"10x32"
3819,-8771.9,"10x34"
3818.9,-9172.6,"10x36"
3818.4,-9560.8,"10x38"
3813.1,-9970.5,"10x40"
3813.4,-10368.2,"10x42"
3810.5,-10772.9,"10x44"
3995.8,-6561.3,"11x23"
4001.9,-6967.9,"11x25"
3999.9,-7357.3,"11x27"
3989.1,-7769.4,"11x29"
3994,-8174,"11x31"
3992.7,-8571.8,"11x33"
3993.8,-8973.9,"11x35"
3984.3,-9363.8,"11x37"
3990.1,-9754.2,"11x39"
3991.5,-10176.9,"11x41"
3995.2,-10580.5,"11x43"
4176.9,-5951.2,"12x20"
4174.5,-6356.5,"12x22"
4174.4,-6756.6,"12x24"
4173.7,-7164.2,"12x26"
4175.5,-7559.7,"12x28"
4170.6,-7970.7,"12x30"
4175.4,-8368,"12x32"
4177.1,-8770.7,"12x34"
4180.6,-9166.7,"12x36"
4166.5,-9559.1,"12x38"
4160.8,-9951.7,"12x40"
4170.3,-10370.9,"12x42"
4171.5,-10774.1,"12x44"
4365.3,-5753.2,"13x19"
4357.6,-6150.5,"13x21"
4352.8,-6559.4,"13x23"
4361.7,-6956.2,"13x25"
4364.6,-7350.2,"13x27"
4353.7,-7764.7,"13x29"
4357.1,-8161.9,"13x31"
4360,-8565,"13x33"
4358.7,-8971.7,"13x35"
4354.8,-9366,"13x37"
4352.5,-9763.7,"13x39"
4356.2,-10169.1,"13x41"
4354.8,-10577,"13x43"
4348.2,-10975.1,"13x45"
4546.7,-5546.6,"14x18"
4537.7,-5938.8,"14x20"
4535.4,-6342.2,"14x22"
4535.1,-6743.1,"14x24"
4539.9,-7143.5,"14x26"
4533.7,-7549.2,"14x28"
4530.3,-7940.7,"14x30"
4534.4,-8344.7,"14x32"
4539,-8745.4,"14x34"
4537.9,-9145.6,"14x36"
4532.2,-9544.8,"14x38"
4535.5,-9943.5,"14x40"
4537.1,-10346.1,"14x42"
4539.4,-10745.3,"14x44"
4529.5,-11147.9,"14x46"
4722.9,-5355.6,"15x17"
4725.3,-5744.4,"15x19"
4714.4,-6142.7,"15x21"
4715.1,-6544.9,"15x23"
4716.2,-6953,"15x25"
4721.3,-7348,"15x27"
4709.6,-7746.3,"15x29"
4713.7,-8145.9,"15x31"
4718.3,-8547.4,"15x33"
4719.1,-8949.1,"15x35"
4709.5,-9347.8,"15x37"
4717.7,-9745.2,"15x39"
4716.4,-10147.4,"15x41"
4719.6,-10548,"15x43"
4712.7,-10950.3,"15x45"
4713.2,-11350,"15x47"
4898.7,-5148.8,"16x16"
4906.2,-5548.6,"16x18"
4902.5,-5943.9,"16x20"
4897.4,-6342.2,"16x22"
4895.5,-6749.6,"16x24"
4904.7,-7141,"16x26"
4893.6,-7549.1,"16x28"
4895,-7944.3,"16x30"
4898,-8346.9,"16x32"
4897,-8746.5,"16x34"
4897.1,-9147.8,"16x36"
4892.6,-9543.7,"16x38"
4897.9,-9944.7,"16x40"
4901.2,-10343.2,"16x42"
4902.1,-10745.8,"16x44"
4893.1,-11149.1,"16x46"
5078.9,-4938.2,"17x15"
5085.6,-5342.6,"17x17"
5087.5,-5738.5,"17x19"
5076.2,-6142.3,"17x21"
5076.9,-6544,"17x23"
5081.1,-6951.8,"17x25"
5084.5,-7351.1,"17x27"
5071.2,-7744.7,"17x29"
5074.4,-8144.8,"17x31"
5078.2,-8549.2,"17x33"
5080.9,-8944,"17x35"
5070.3,-9344.4,"17x37"
5077.1,-9740.1,"17x39"
5078.1,-10146.7,"17x41"
5078.7,-10546,"17x43"
5068.1,-10947.3,"17x45"
5257.7,-4761.6,"18x14"
5259.8,-5169.3,"18x16"
5264.6,-5566,"18x18"
5249.7,-5967.8,"18x20"
5253.1,-6367.1,"18x22"
5258.1,-6766.9,"18x24"
5270.4,-7165.7,"18x26"
5258.4,-7572.6,"18x28"
5253.6,-7967.5,"18x30"
5254.3,-8367.2,"18x32"
5265.6,-8769.9,"18x34"
5256.5,-9160.8,"18x36"
5245.7,-9566,"18x38"
5256.9,-9966.6,"18x40"
5261.8,-10370.6,"18x42"
5437.6,-4562,"19x13"
5441.5,-4960.1,"19x15"
5443.1,-5369.6,"19x17"
5447,-5763.3,"19x19"
5430.7,-6158.5,"19x21"
5437.5,-6571.5,"19x23"
5449.5,-6957.6,"19x25"
5443.2,-7369.6,"19x27"
5430.8,-7766.3,"19x29"
5451,-8171.1,"19x31"
5443.9,-8564.7,"19x33"
5445.8,-8975.8,"19x35"
5431,-9364,"19x37"
5437.7,-9765.3,"19x39"
5440.1,-10168.5,"19x41"
5444.2,-10567.3,"19x43"
5621.5,-4359.4,"20x12"
5617.7,-4759,"20x14"
5625.6,-5160.1,"20x16"
5622.7,-5565.8,"20x18"
5611,-5967.3,"20x20"
5613.4,-6371.5,"20x22"
5625.3,-6766.4,"20x24"
5614.4,-7175.2,"20x26"
5617.3,-7566.4,"20x28"
5615,-7969.4,"20x30"
5615,-8367.7,"20x32"
5615.7,-8758.6,"20x34"
5617.9,-9163.4,"20x36"
5610.1,-9568.2,"20x38"
5606.9,-9970.7,"20x40"
5622.2,-10365.9,"20x42"
5617.8,-11566.2,"20x48"
5803.3,-4169.4,"21x11"
5798.6,-4571.1,"21x13"
